ACCOUNT:276966 BALANCE:2195.13
ACCOUNT:443419 BALANCE:6205.31
ACCOUNT:826629 BALANCE:5415.45
ACCOUNT:671762 BALANCE:5676.05
ACCOUNT:579923 BALANCE:8291.14
ACCOUNT:613239 BALANCE:1219.11
ACCOUNT:510950 BALANCE:7383.82
ACCOUNT:469960 BALANCE:8327.14
ACCOUNT:196737 BALANCE:6570.74
ACCOUNT:925509 BALANCE:6073.37
ACCOUNT:486912 BALANCE:6946.56
ACCOUNT:932787 BALANCE:7283.12
ACCOUNT:673040 BALANCE:6946.50
ACCOUNT:796714 BALANCE:7593.67
ACCOUNT:625981 BALANCE:5745.14
ACCOUNT:545718 BALANCE:7663.93
ACCOUNT:991928 BALANCE:9683.60
ACCOUNT:547608 BALANCE:5964.31
ACCOUNT:412664 BALANCE:3418.46
ACCOUNT:642727 BALANCE:3117.38
ACCOUNT:859428 BALANCE:9714.88
ACCOUNT:376740 BALANCE:1464.91
ACCOUNT:927806 BALANCE:436.55
ACCOUNT:443147 BALANCE:4051.74
ACCOUNT:962346 BALANCE:3304.81
ACCOUNT:193385 BALANCE:1607.12
ACCOUNT:944837 BALANCE:4451.54
ACCOUNT:413721 BALANCE:2493.20
ACCOUNT:485163 BALANCE:3905.37
ACCOUNT:748573 BALANCE:1202.24
ACCOUNT:545959 BALANCE:2267.46
ACCOUNT:125853 BALANCE:2358.53
ACCOUNT:421808 BALANCE:3732.45
ACCOUNT:505987 BALANCE:8358.39
ACCOUNT:270371 BALANCE:9596.12
ACCOUNT:724693 BALANCE:2902.20
ACCOUNT:583174 BALANCE:2760.10
ACCOUNT:685357 BALANCE:5238.49
ACCOUNT:509459 BALANCE:7699.04
ACCOUNT:230910 BALANCE:4417.07
ACCOUNT:272561 BALANCE:4780.61
ACCOUNT:333361 BALANCE:3603.05
ACCOUNT:184880 BALANCE:1028.19
ACCOUNT:428668 BALANCE:8866.68
ACCOUNT:973757 BALANCE:9362.33
ACCOUNT:751112 BALANCE:6787.88
ACCOUNT:624008 BALANCE:4477.26
ACCOUNT:895065 BALANCE:4114.93
ACCOUNT:406363 BALANCE:7222.32
ACCOUNT:691272 BALANCE:6822.47
ACCOUNT:192788 BALANCE:686.47
ACCOUNT:279212 BALANCE:9678.69
ACCOUNT:821801 BALANCE:7392.58
ACCOUNT:364716 BALANCE:433.33
ACCOUNT:569659 BALANCE:228.41
ACCOUNT:575491 BALANCE:3032.01
ACCOUNT:466520 BALANCE:4426.93
ACCOUNT:198990 BALANCE:3086.61
ACCOUNT:450857 BALANCE:8939.58
ACCOUNT:496171 BALANCE:1944.70
ACCOUNT:220936 BALANCE:9039.16
ACCOUNT:571782 BALANCE:7113.85
ACCOUNT:281653 BALANCE:9384.96
ACCOUNT:983918 BALANCE:8187.43
ACCOUNT:202817 BALANCE:4771.84
ACCOUNT:279189 BALANCE:1024.26
ACCOUNT:113728 BALANCE:3546.27
ACCOUNT:108828 BALANCE:326.29
ACCOUNT:956803 BALANCE:2713.96
ACCOUNT:439183 BALANCE:3821.06
ACCOUNT:721607 BALANCE:3568.63
ACCOUNT:939239 BALANCE:1649.81
ACCOUNT:446899 BALANCE:2623.35
ACCOUNT:101029 BALANCE:9450.72
ACCOUNT:526585 BALANCE:4098.57
ACCOUNT:845021 BALANCE:3630.42
ACCOUNT:657789 BALANCE:2952.77
ACCOUNT:740661 BALANCE:9326.61
ACCOUNT:803262 BALANCE:1218.45
ACCOUNT:846069 BALANCE:5712.10
ACCOUNT:269526 BALANCE:9495.97
ACCOUNT:394423 BALANCE:6187.41
ACCOUNT:694883 BALANCE:4923.52
ACCOUNT:504081 BALANCE:6936.60
ACCOUNT:909709 BALANCE:3876.55
ACCOUNT:789560 BALANCE:1397.47
ACCOUNT:641646 BALANCE:4567.02
ACCOUNT:365486 BALANCE:8721.94
ACCOUNT:695121 BALANCE:8362.04
ACCOUNT:889350 BALANCE:4799.72
ACCOUNT:250442 BALANCE:9284.65
ACCOUNT:125674 BALANCE:592.79
ACCOUNT:548974 BALANCE:9105.55
ACCOUNT:780012 BALANCE:6727.04
ACCOUNT:697458 BALANCE:8508.97
ACCOUNT:159101 BALANCE:8975.69
ACCOUNT:610190 BALANCE:6528.65
ACCOUNT:432437 BALANCE:2219.20
ACCOUNT:337120 BALANCE:5243.81
ACCOUNT:754347 BALANCE:7453.16
ACCOUNT:596484 BALANCE:7047.87
ACCOUNT:419193 BALANCE:3524.14
ACCOUNT:573107 BALANCE:8992.81
ACCOUNT:354648 BALANCE:1015.59
ACCOUNT:226911 BALANCE:6068.10
ACCOUNT:565217 BALANCE:6149.97
ACCOUNT:408339 BALANCE:4168.50
ACCOUNT:147794 BALANCE:664.69
ACCOUNT:403598 BALANCE:1572.10
ACCOUNT:335241 BALANCE:7227.93
ACCOUNT:841907 BALANCE:8553.38
ACCOUNT:936235 BALANCE:3984.31
ACCOUNT:297022 BALANCE:2215.71
ACCOUNT:255388 BALANCE:7962.50
ACCOUNT:546491 BALANCE:8799.93
ACCOUNT:737834 BALANCE:5641.74
ACCOUNT:219856 BALANCE:7597.23
ACCOUNT:596588 BALANCE:7351.64
ACCOUNT:856914 BALANCE:1069.85
ACCOUNT:242830 BALANCE:5980.55
ACCOUNT:695471 BALANCE:4456.21
ACCOUNT:188359 BALANCE:467.74
ACCOUNT:253660 BALANCE:8530.03
ACCOUNT:187941 BALANCE:8379.58
ACCOUNT:793412 BALANCE:7007.87
ACCOUNT:712530 BALANCE:6955.97
ACCOUNT:831135 BALANCE:6555.47
ACCOUNT:647747 BALANCE:1214.71
ACCOUNT:180634 BALANCE:5251.32
ACCOUNT:822873 BALANCE:2569.25
ACCOUNT:704533 BALANCE:1868.09
ACCOUNT:604731 BALANCE:8653.05
ACCOUNT:580978 BALANCE:3515.31
ACCOUNT:485830 BALANCE:7825.46
ACCOUNT:872431 BALANCE:3191.21
ACCOUNT:602134 BALANCE:6263.95
ACCOUNT:766800 BALANCE:333.62
ACCOUNT:808783 BALANCE:3016.55
ACCOUNT:646307 BALANCE:6562.00
ACCOUNT:237265 BALANCE:7485.78
ACCOUNT:647065 BALANCE:2690.68
ACCOUNT:238029 BALANCE:8440.45
ACCOUNT:704329 BALANCE:8571.98
ACCOUNT:546896 BALANCE:2683.01
ACCOUNT:662525 BALANCE:4509.89
ACCOUNT:641791 BALANCE:1698.87
ACCOUNT:954809 BALANCE:7808.97
ACCOUNT:241854 BALANCE:5653.94
ACCOUNT:990758 BALANCE:7147.31
ACCOUNT:202129 BALANCE:2380.65
ACCOUNT:549154 BALANCE:4229.07
ACCOUNT:694861 BALANCE:9931.41
ACCOUNT:777762 BALANCE:4060.19
ACCOUNT:971238 BALANCE:9787.07
ACCOUNT:389637 BALANCE:9933.52
ACCOUNT:836062 BALANCE:3080.04
ACCOUNT:591232 BALANCE:8859.58
ACCOUNT:527802 BALANCE:5922.46
ACCOUNT:116307 BALANCE:1970.92
ACCOUNT:161545 BALANCE:6766.06
ACCOUNT:369821 BALANCE:711.17
ACCOUNT:607770 BALANCE:591.92
ACCOUNT:501568 BALANCE:787.35
ACCOUNT:152685 BALANCE:4687.65
ACCOUNT:610151 BALANCE:5649.74
ACCOUNT:362339 BALANCE:5502.71
ACCOUNT:909030 BALANCE:3351.29
ACCOUNT:542967 BALANCE:7817.59
ACCOUNT:683207 BALANCE:690.28
ACCOUNT:318887 BALANCE:4526.89
ACCOUNT:653832 BALANCE:8612.35
ACCOUNT:570508 BALANCE:7697.33
ACCOUNT:375010 BALANCE:9788.84
ACCOUNT:403989 BALANCE:2002.61
ACCOUNT:834842 BALANCE:2258.67
ACCOUNT:590979 BALANCE:6637.38
ACCOUNT:438718 BALANCE:8910.43
ACCOUNT:536938 BALANCE:2569.34
ACCOUNT:604656 BALANCE:618.36
ACCOUNT:784384 BALANCE:1110.57
ACCOUNT:592120 BALANCE:6174.14
ACCOUNT:661277 BALANCE:6002.25
ACCOUNT:824523 BALANCE:8716.71
ACCOUNT:407374 BALANCE:848.22
ACCOUNT:859517 BALANCE:2144.97
ACCOUNT:959284 BALANCE:5490.69
ACCOUNT:935609 BALANCE:5372.75
ACCOUNT:261719 BALANCE:6334.19
ACCOUNT:480131 BALANCE:8309.91
ACCOUNT:580842 BALANCE:4895.62
ACCOUNT:926774 BALANCE:2522.86
ACCOUNT:500035 BALANCE:3922.98
ACCOUNT:737415 BALANCE:9472.14
ACCOUNT:635102 BALANCE:8314.26
ACCOUNT:393549 BALANCE:7863.36
ACCOUNT:709123 BALANCE:7244.02
ACCOUNT:964263 BALANCE:8324.76
ACCOUNT:766717 BALANCE:4246.53
ACCOUNT:544135 BALANCE:6063.90
ACCOUNT:220092 BALANCE:2854.95
ACCOUNT:738168 BALANCE:8549.20
ACCOUNT:280507 BALANCE:3697.42
ACCOUNT:991028 BALANCE:8347.97
ACCOUNT:939881 BALANCE:9363.67
ACCOUNT:110378 BALANCE:5787.37
ACCOUNT:212275 BALANCE:5614.13
ACCOUNT:442016 BALANCE:549.36
ACCOUNT:393768 BALANCE:4001.95
ACCOUNT:785051 BALANCE:5590.62
ACCOUNT:890852 BALANCE:7806.92
ACCOUNT:746844 BALANCE:3429.68
ACCOUNT:997775 BALANCE:3066.24
ACCOUNT:146884 BALANCE:3713.55
ACCOUNT:788732 BALANCE:3290.02
ACCOUNT:960134 BALANCE:3419.13
ACCOUNT:850220 BALANCE:4795.50
ACCOUNT:242496 BALANCE:326.76
ACCOUNT:515277 BALANCE:5494.10
ACCOUNT:595060 BALANCE:481.08
ACCOUNT:734680 BALANCE:5813.71
ACCOUNT:611513 BALANCE:5823.21
ACCOUNT:667987 BALANCE:1090.76
ACCOUNT:933304 BALANCE:1261.12
ACCOUNT:480450 BALANCE:4314.06
ACCOUNT:262574 BALANCE:1030.60
ACCOUNT:926952 BALANCE:2051.15
ACCOUNT:649219 BALANCE:2602.35
ACCOUNT:312935 BALANCE:5404.17
ACCOUNT:465545 BALANCE:5851.13
ACCOUNT:908562 BALANCE:1735.99
ACCOUNT:364064 BALANCE:4200.14
ACCOUNT:807798 BALANCE:9957.32
ACCOUNT:217996 BALANCE:1396.29
ACCOUNT:897394 BALANCE:6970.75
ACCOUNT:832345 BALANCE:6212.24
ACCOUNT:760033 BALANCE:3035.32
ACCOUNT:962954 BALANCE:8518.43
ACCOUNT:148069 BALANCE:2735.54
ACCOUNT:809419 BALANCE:6450.69
ACCOUNT:541264 BALANCE:2760.58
ACCOUNT:829979 BALANCE:7106.74
ACCOUNT:129152 BALANCE:6650.10
ACCOUNT:360533 BALANCE:2962.91
ACCOUNT:524797 BALANCE:5654.90
ACCOUNT:171577 BALANCE:3890.04
ACCOUNT:781840 BALANCE:5722.01
ACCOUNT:932887 BALANCE:1225.60
ACCOUNT:237737 BALANCE:3548.15
ACCOUNT:509820 BALANCE:2033.45
ACCOUNT:355321 BALANCE:4250.37
ACCOUNT:448158 BALANCE:664.85
ACCOUNT:173643 BALANCE:4784.84
ACCOUNT:852155 BALANCE:8947.51
ACCOUNT:481010 BALANCE:3091.51
ACCOUNT:747527 BALANCE:5926.12
ACCOUNT:173594 BALANCE:8615.62
ACCOUNT:459297 BALANCE:7217.87
ACCOUNT:399958 BALANCE:5056.81
ACCOUNT:222134 BALANCE:435.43
ACCOUNT:255355 BALANCE:272.46
ACCOUNT:273124 BALANCE:9842.77
ACCOUNT:752973 BALANCE:4534.45
ACCOUNT:832612 BALANCE:4105.17
ACCOUNT:447059 BALANCE:3607.37
ACCOUNT:249531 BALANCE:3211.51
ACCOUNT:144719 BALANCE:523.94
ACCOUNT:376581 BALANCE:3920.25
ACCOUNT:625329 BALANCE:756.15
ACCOUNT:250974 BALANCE:7915.07
ACCOUNT:715692 BALANCE:9474.29
ACCOUNT:956904 BALANCE:7761.24
ACCOUNT:191390 BALANCE:8714.79
ACCOUNT:153347 BALANCE:5604.46
ACCOUNT:729037 BALANCE:4144.85
ACCOUNT:477417 BALANCE:8855.41
ACCOUNT:117743 BALANCE:9126.39
ACCOUNT:898751 BALANCE:3797.12
ACCOUNT:811002 BALANCE:3859.40
ACCOUNT:175410 BALANCE:7744.14
ACCOUNT:147728 BALANCE:3197.57
ACCOUNT:669055 BALANCE:6251.43
ACCOUNT:110280 BALANCE:7425.74
ACCOUNT:675304 BALANCE:700.95
ACCOUNT:348865 BALANCE:2264.66
ACCOUNT:559916 BALANCE:1662.16
ACCOUNT:341834 BALANCE:6337.71
ACCOUNT:210696 BALANCE:5282.77
ACCOUNT:890335 BALANCE:9557.23
ACCOUNT:348523 BALANCE:8066.28
ACCOUNT:770387 BALANCE:5744.84
ACCOUNT:267655 BALANCE:9267.68
ACCOUNT:438251 BALANCE:1539.63
ACCOUNT:757936 BALANCE:3880.01
ACCOUNT:786109 BALANCE:9108.13
ACCOUNT:281544 BALANCE:6578.01
ACCOUNT:625809 BALANCE:9219.02
ACCOUNT:550236 BALANCE:7493.69
ACCOUNT:303551 BALANCE:7936.34
ACCOUNT:473830 BALANCE:3610.46
ACCOUNT:650321 BALANCE:4279.59
ACCOUNT:287377 BALANCE:1034.15
ACCOUNT:188952 BALANCE:4733.62
ACCOUNT:625699 BALANCE:6508.92
ACCOUNT:605236 BALANCE:4107.46
ACCOUNT:894182 BALANCE:1758.27
ACCOUNT:536606 BALANCE:1712.16
ACCOUNT:811330 BALANCE:7884.95
ACCOUNT:883067 BALANCE:7294.67
ACCOUNT:443185 BALANCE:260.14
ACCOUNT:225433 BALANCE:2749.88
ACCOUNT:115724 BALANCE:8793.99
ACCOUNT:849391 BALANCE:9902.32
ACCOUNT:254718 BALANCE:6601.00
ACCOUNT:400785 BALANCE:8975.47
ACCOUNT:518093 BALANCE:7666.93
ACCOUNT:973497 BALANCE:4575.67
ACCOUNT:327534 BALANCE:825.93
ACCOUNT:775477 BALANCE:9912.75
ACCOUNT:459679 BALANCE:2441.68
ACCOUNT:594197 BALANCE:4641.73
ACCOUNT:139887 BALANCE:7197.63
ACCOUNT:529322 BALANCE:8848.03
ACCOUNT:944214 BALANCE:7422.90
ACCOUNT:981530 BALANCE:4020.44
ACCOUNT:775606 BALANCE:5170.78
ACCOUNT:104369 BALANCE:2757.33
ACCOUNT:643533 BALANCE:1311.32
ACCOUNT:386952 BALANCE:733.45
ACCOUNT:865723 BALANCE:7780.08
ACCOUNT:981874 BALANCE:490.69
ACCOUNT:668365 BALANCE:5682.46
ACCOUNT:226638 BALANCE:6800.14
ACCOUNT:752190 BALANCE:1807.32
ACCOUNT:170977 BALANCE:984.10
ACCOUNT:647157 BALANCE:4242.64
ACCOUNT:212463 BALANCE:9948.31
ACCOUNT:189816 BALANCE:2786.56
ACCOUNT:411236 BALANCE:4283.73
ACCOUNT:730408 BALANCE:7779.82
ACCOUNT:387416 BALANCE:6407.76
ACCOUNT:216340 BALANCE:2930.10
ACCOUNT:800964 BALANCE:5521.13
ACCOUNT:548742 BALANCE:3010.88
ACCOUNT:449308 BALANCE:1675.68
ACCOUNT:390541 BALANCE:7305.52
ACCOUNT:699488 BALANCE:1548.74
ACCOUNT:166900 BALANCE:5500.17
ACCOUNT:344284 BALANCE:2714.25
ACCOUNT:724443 BALANCE:6964.08
ACCOUNT:632390 BALANCE:6350.81
ACCOUNT:430275 BALANCE:6366.58
ACCOUNT:588174 BALANCE:2299.55
ACCOUNT:758121 BALANCE:5591.54
ACCOUNT:772467 BALANCE:4994.14
ACCOUNT:519754 BALANCE:237.69
ACCOUNT:991132 BALANCE:305.70
ACCOUNT:188953 BALANCE:8258.28
ACCOUNT:612049 BALANCE:7548.64
ACCOUNT:905945 BALANCE:9477.91
ACCOUNT:536641 BALANCE:5048.81
ACCOUNT:185819 BALANCE:5816.06
ACCOUNT:228219 BALANCE:1481.25
ACCOUNT:429360 BALANCE:5555.52
ACCOUNT:472859 BALANCE:5364.86
ACCOUNT:357289 BALANCE:6075.56
ACCOUNT:944348 BALANCE:7473.97
ACCOUNT:525798 BALANCE:1554.33
ACCOUNT:377606 BALANCE:6843.56
ACCOUNT:705082 BALANCE:314.11
ACCOUNT:346115 BALANCE:3520.33
ACCOUNT:192709 BALANCE:5528.62
ACCOUNT:578290 BALANCE:7957.67
ACCOUNT:775101 BALANCE:564.04
ACCOUNT:784416 BALANCE:5029.73
ACCOUNT:227289 BALANCE:8105.36
ACCOUNT:568440 BALANCE:8174.33
ACCOUNT:620039 BALANCE:9280.73
ACCOUNT:653609 BALANCE:5569.45
ACCOUNT:324330 BALANCE:416.99
ACCOUNT:359818 BALANCE:4851.18
ACCOUNT:537809 BALANCE:163.82
ACCOUNT:402465 BALANCE:4208.98
ACCOUNT:370840 BALANCE:3485.15
ACCOUNT:228508 BALANCE:6930.23
ACCOUNT:125370 BALANCE:2157.55
ACCOUNT:211582 BALANCE:2173.09
ACCOUNT:953650 BALANCE:171.67
ACCOUNT:659213 BALANCE:6375.77
ACCOUNT:235185 BALANCE:2362.61
ACCOUNT:702350 BALANCE:5896.98
ACCOUNT:412460 BALANCE:6245.44
ACCOUNT:800094 BALANCE:2877.53
ACCOUNT:215507 BALANCE:5782.52
ACCOUNT:210568 BALANCE:458.46
ACCOUNT:549055 BALANCE:6461.14
ACCOUNT:465194 BALANCE:5707.15
ACCOUNT:765144 BALANCE:3355.50
ACCOUNT:538378 BALANCE:4729.00
ACCOUNT:269139 BALANCE:4964.21
ACCOUNT:791200 BALANCE:493.56
ACCOUNT:325911 BALANCE:6966.37
ACCOUNT:792566 BALANCE:6762.34
ACCOUNT:814961 BALANCE:6694.43
ACCOUNT:903069 BALANCE:4098.08
ACCOUNT:118379 BALANCE:4188.43
ACCOUNT:427095 BALANCE:5382.51
ACCOUNT:705751 BALANCE:8426.40
ACCOUNT:463455 BALANCE:4686.99
ACCOUNT:872739 BALANCE:4271.42
ACCOUNT:264573 BALANCE:7113.97
ACCOUNT:537139 BALANCE:4656.71
ACCOUNT:657859 BALANCE:1790.89
ACCOUNT:639570 BALANCE:6889.67
ACCOUNT:287483 BALANCE:4605.16
ACCOUNT:257844 BALANCE:1873.67
ACCOUNT:201856 BALANCE:1106.46
ACCOUNT:966272 BALANCE:5460.63
ACCOUNT:814938 BALANCE:8285.79
ACCOUNT:881240 BALANCE:4138.85
ACCOUNT:476753 BALANCE:9283.11
ACCOUNT:307174 BALANCE:1188.56
ACCOUNT:707139 BALANCE:7253.71
ACCOUNT:959677 BALANCE:1299.41
ACCOUNT:979468 BALANCE:7080.32
ACCOUNT:987882 BALANCE:107.13
ACCOUNT:771318 BALANCE:507.39
ACCOUNT:567486 BALANCE:5743.94
ACCOUNT:127809 BALANCE:5465.69
